x0,x1,x2,x3,x4,x5,cl,cd,cm,valid
0.12706569455134886,0.0558510788267928,0.3872727437183611,-0.1029350911566206,0.010999272347424927,0.025880471545335376,0.6278,0.00874,-0.0921,True
0.132479556571088,0.1927122553689456,0.45106704444876006,-0.02242455325907597,0.1294185435039148,-0.03397728967867358,0.9906,0.00563,-0.1629,True
0.47612015681756553,0.16586692020778576,0.3602895551885,-0.15431690266221712,0.20148122906689153,0.18185293958542015,1.1949,0.01201,-0.1468,True
0.37198281087109114,0.3038562935908687,0.33245008811410265,-0.1466746690011761,0.1744661818830749,0.019429138510636795,0.9981,0.00998,-0.117,True
0.29933460932338996,0.33021678997256493,0.41488292781931607,0.04862316813500944,0.31858350735782476,0.01404125978235593,0.5746,0.00392,-0.0473,True
0.464027898750435,-0.044588493099465804,0.37682332267845847,0.057183557170842336,0.17170831137485248,-0.12178446872293187,0.4327,0.0,-0.0005,True
0.2757065838062028,0.24527946100019632,0.3853556452427161,0.03135223510046062,-0.026812310552286833,-0.19809177793474436,0.1663,0.0058,0.0251,True
0.3936144744189444,-0.07314226514915478,0.3250670559632904,-0.13473352836089197,0.0436754744065333,0.03661268439548321,0.7494,0.0093,-0.0607,True
0.32410828729442304,0.026703349860288522,0.3711333835244813,0.0843497756418648,-0.17689871239282423,-0.01207737018097585,0.4707,0.01401,-0.0233,True
0.47392966194966085,-0.011843993642491474,0.3711743655273952,-0.18608540310448346,0.007320641366915598,-0.1692228935843319,0.6279,0.01021,-0.016,True
0.006359859733834294,0.24152441970693356,0.13603524203963235,-0.19281046235919472,-0.13703944184914316,-0.1000014055769914,0.9273,0.04864,-0.2312,True
0.47368959806278493,0.1189351571771638,0.30547845522169853,-0.19044441959765976,0.2505753254664234,0.18487698959318394,1.1526,0.01191,-0.1372,True
0.09718993559988043,0.025123059603955028,0.47829257484073656,0.02713355696891384,-0.10328567232165972,0.19385925719931663,0.7553,0.01129,-0.1312,True
0.37766929949748057,0.48090104032743114,0.3577831182786026,-0.15439342144371496,-0.16563852588608757,0.28334653764232126,1.26,0.01006,-0.1943,True
0.12138263452227571,0.3796699191929595,0.40886023210255557,-0.15069483137350875,0.1029578277912711,-0.0861610391714538,0.9563,0.00683,-0.1651,True
0.13289458369550655,0.43432386151994445,0.02814190170446046,-0.019945989337485093,0.3315984525609534,-0.15169825213831187,0.7409,0.00744,-0.0549,True
0.18671988005282464,0.13014913051681126,0.156929737253852,0.08912323545110146,0.22147708712075115,-0.06419437108531822,-0.8512,0.0,0.3032,True
0.4658007310862526,0.2782451666188724,0.19319860049697712,-0.04371869331003833,0.33156158788155893,0.17894511629759685,1.2699,0.01098,-0.1333,True
0.19784315984033868,-0.18872809319618578,0.47146126303430075,-0.1166273365140191,0.14423973578663368,0.1134948383420405,0.6966,0.0107,-0.1051,True
0.1241336510300236,0.37859618534180156,0.008965306619515861,-0.026925928635302215,0.1286589789013572,-0.16898482508679744,0.7091,0.0063,-0.0502,True
0.43313694287943544,0.48069522227312794,0.373080538037413,-0.14589562059094047,0.1603678782233816,0.3200476193332403,1.5327,0.01143,-0.2352,True
0.09975902586497343,0.16811647804899715,0.4822423440339649,-0.19469370273945896,0.16459185863676612,0.023087289737015876,0.6134,0.01243,-0.1137,True
0.3559097552109782,0.4241567904912547,0.34763282347284846,0.15164182973295126,0.11856209248647287,-0.06537032445479865,1.0836,0.01467,-0.1027,True
0.31979648510339836,0.32895637945631223,0.22443201806874596,0.059125122138136976,0.25353657569635835,0.08260729831898395,0.3331,0.0,-0.1004,True
0.35504021448561546,0.30280386868012504,0.3599174811078965,0.1868032558275869,0.025604840091627973,0.16819042996042555,1.1292,0.01332,-0.125,True
0.21407828275935054,-0.1500611411786303,-0.03136341958705288,0.012405735090128267,-0.19369696498142958,-0.03452490193916416,0.1763,0.00923,0.0764,True
0.4277375211653501,0.36596083593159195,0.4712655954489962,-0.13606941452041055,0.3073808825958862,0.4058526828561296,1.6403,0.01282,-0.2704,True
0.42710267065759183,0.41061215209893637,0.41569450687619874,-0.12847544279619683,-0.02811068373485634,0.029336538982947413,0.989,0.00957,-0.1132,True
0.3354724272502276,0.2766166025893026,0.4858607007511038,-0.08320092354427484,0.2049044537874818,-0.16947195675897384,0.7409,0.00992,-0.0624,True
0.3910496686908746,0.4317588876207364,0.32818900031901993,0.2855824426323349,0.10353640475358133,0.2746077255519749,,,,True
0.34918079612794634,0.40112250434130353,-0.025734643807422214,-0.11302759201891793,0.0007203610271666605,-0.1729739539108457,0.6531,0.00813,-0.0007,True
